FrameId,Event,Type,OId,HId,D
31,29,MATCH,gt_5,det_16,0.0372155881318567
32,25,MATCH,gt_1,det_12,0.08067837380611927
32,26,MATCH,gt_2,det_14,0.10901834707974666
32,27,MATCH,gt_3,det_15,0.06570388116390073
32,28,MATCH,gt_4,det_13,0.10553672346628942
32,29,MATCH,gt_5,det_16,0.05789645930452064
33,25,MATCH,gt_1,det_12,0.029154759474225075
33,26,MATCH,gt_2,det_14,0.06870953354520745
33,27,MATCH,gt_3,det_15,0.05909314681077691
33,28,MATCH,gt_4,det_13,0.09571833680126342
33,29,MATCH,gt_5,det_16,0.04274342054632505
34,25,MATCH,gt_1,det_12,0.06496922348312284
34,26,MATCH,gt_2,det_14,0.06798529252713448
34,27,MATCH,gt_3,det_15,0.09845303448853154
34,28,MATCH,gt_4,det_13,0.09523129737644055
34,29,MATCH,gt_5,det_16,0.08232253640407312
35,25,MATCH,gt_1,det_12,0.07294518489934657
35,26,MATCH,gt_2,det_14,0.062305697973779994
35,27,MATCH,gt_3,det_15,0.14515508947329422
35,28,MATCH,gt_4,det_13,0.08621484790916246
35,29,MATCH,gt_5,det_16,0.13519245541079566
36,25,MATCH,gt_1,det_12,0.10253779790886641
36,26,MATCH,gt_2,det_14,0.042591078878093505
36,27,MATCH,gt_3,det_15,0.1382244551445224
36,28,MATCH,gt_4,det_13,0.05161395160225572
36,29,MATCH,gt_5,det_16,0.09635870484808255
37,25,MATCH,gt_1,det_12,0.07003570517957042
37,26,MATCH,gt_2,det_14,0.09054280755532146
37,27,MATCH,gt_3,det_15,0.06422616289332546
37,28,MATCH,gt_4,det_13,0.11293360881509108
37,29,MATCH,gt_5,det_16,0.06231372240526092
38,25,MATCH,gt_1,det_12,0.051874849397371386
38,26,MATCH,gt_2,det_14,0.13051053597315446
38,27,MATCH,gt_3,det_15,0.04031128874149294
38,28,MATCH,gt_4,det_13,0.10938921336219573
38,29,MATCH,gt_5,det_16,0.04880573736764944
39,25,MATCH,gt_1,det_12,0.07296574538781868
39,26,MATCH,gt_2,det_14,0.08021845174272589
39,27,MATCH,gt_3,det_15,0.04508880127038177
39,28,MATCH,gt_4,det_13,0.10320368210485505
39,29,MATCH,gt_5,det_16,0.03967366884975468
40,25,MATCH,gt_1,det_12,0.049739320461785544
40,26,MATCH,gt_2,det_14,0.10596697598780451
40,27,MATCH,gt_3,det_15,0.06238589584192881
40,28,MATCH,gt_4,det_13,0.0890673902166224
40,29,MATCH,gt_5,det_16,0.059194594347795323
41,25,MATCH,gt_1,det_12,0.11189727431890481
41,26,MATCH,gt_2,det_14,0.082716382899641
41,27,MATCH,gt_3,det_15,0.04661544808322659
41,28,MATCH,gt_4,det_13,0.11646029366268969
41,29,MATCH,gt_5,det_16,0.05171073389539175
42,25,MATCH,gt_1,det_12,0.07500000000000022
42,26,MATCH,gt_2,det_14,0.055767373974394144
42,27,MATCH,gt_3,det_15,0.0450111097397076
42,28,MATCH,gt_4,det_13,0.06889121859859937
42,29,MATCH,gt_5,det_16,0.12086355943790474
43,25,MATCH,gt_1,det_12,0.08716650732936422
43,26,MATCH,gt_2,det_14,0.06316644678941548
43,27,MATCH,gt_3,det_15,0.04082891132518753
43,28,MATCH,gt_4,det_13,0.08882004278314676
43,29,MATCH,gt_5,det_16,0.10566929544574408
44,25,MATCH,gt_1,det_12,0.08330066026148918
44,26,MATCH,gt_2,det_14,0.09695359714832655
44,27,MATCH,gt_3,det_15,0.04764451699828655
44,28,MATCH,gt_4,det_13,0.0859476584905021
44,29,MATCH,gt_5,det_16,0.07785242449660791
45,25,MATCH,gt_1,det_12,0.10331021246711272
45,26,MATCH,gt_2,det_14,0.060340699366182075
45,27,MATCH,gt_3,det_15,0.025159491250818237
45,28,MATCH,gt_4,det_13,0.057463031594234534
45,29,MATCH,gt_5,det_16,0.08330066026148954
46,25,MATCH,gt_1,det_12,0.08896628574915287
46,26,MATCH,gt_2,det_14,0.0748465096046562
46,27,MATCH,gt_3,det_15,0.09753460924205283
46,28,MATCH,gt_4,det_13,0.041243181254602565
46,29,MATCH,gt_5,det_16,0.09000000000000062
47,25,MATCH,gt_1,det_12,0.10327148686835257
47,26,MATCH,gt_2,det_14,0.05801723881743978
47,27,MATCH,gt_3,det_15,0.10837435120913078
47,28,MATCH,gt_4,det_13,0.03189043743820454
47,29,MATCH,gt_5,det_16,0.09878258955909164
